Date,rio.ax,gpt.ax,wes.ax,wpl.ax,coh.ax,tcl.ax,all.ax,fmg.ax,sun.ax,bhp.ax,cba.ax,rhc.ax,sto.ax,bxb.ax,csl.ax,nab.ax,rea.ax,mqg.ax,anz.ax,shl.ax,brg.ax,qbe.ax,ncm.ax,cpu.ax,wbc.ax,wow.ax,tls.ax
1988-02-01,,0.817806601524353,0.1156597435474395,0.459937185049057,,,,,,0.6502552032470703,,,0.7244090437889099,0.5981324911117554,,0.4784407019615173,,,0.4692013561725616,,,0.1305645257234573,,,0.6486178040504456,,
1988-02-02,,0.817806601524353,0.1156597435474395,0.459937185049057,,,,,,0.6502552032470703,,,0.7244090437889099,0.5981324911117554,,0.4784407019615173,,,0.4692013561725616,,,0.1305645257234573,,,0.6486178040504456,,
1988-02-03,,0.817806601524353,0.1156597435474395,0.459937185049057,,,,,,0.6502552032470703,,,0.7244090437889099,0.5981324911117554,,0.4784407019615173,,,0.4692013561725616,,,0.1305645257234573,,,0.6486178040504456,,
1988-02-04,,0.817806601524353,0.1156597435474395,0.459937185049057,,,,,,0.6502552032470703,,,0.7244090437889099,0.5981324911117554,,0.4784407019615173,,,0.4692013561725616,,,0.1305645257234573,,,0.6486178040504456,,
1988-02-05,,0.817806601524353,0.1156597435474395,0.459937185049057,,,,,,0.6502552032470703,,,0.7244090437889099,0.5981324911117554,,0.4784407019615173,,,0.4692013561725616,,,0.1305645257234573,,,0.6486178040504456,,
1988-02-08,,0.817806601524353,0.1156597435474395,0.459937185049057,,,,,,0.6502552032470703,,,0.7244090437889099,0.5981324911117554,,0.4784407019615173,,,0.4692013561725616,,,0.1305645257234573,,,0.6486178040504456,,
1988-02-09,,0.817806601524353,0.1156597435474395,0.459937185049057,,,,,,0.6502552032470703,,,0.7244090437889099,0.5981324911117554,,0.4784407019615173,,,0.4692013561725616,,,0.1305645257234573,,,0.6486178040504456,,
1988-02-10,,0.817806601524353,0.1156597435474395,0.459937185049057,,,,,,0.6502552032470703,,,0.7244090437889099,0.5981324911117554,,0.4784407019615173,,,0.4692013561725616,,,0.1305645257234573,,,0.6486178040504456,,
1988-02-11,,0.817806601524353,0.1156597435474395,0.459937185049057,,,,,,0.6502552032470703,,,0.7244090437889099,0.5981324911117554,,0.4784407019615173,,,0.4692013561725616,,,0.1305645257234573,,,0.6486178040504456,,
1988-02-12,,0.817806601524353,0.1156597435474395,0.459937185049057,,,,,,0.6502552032470703,,,0.7244090437889099,0.5981324911117554,,0.4784407019615173,,,0.4692013561725616,,,0.1305645257234573,,,0.6486178040504456,,
1988-02-15,,0.817806601524353,0.1156597435474395,0.459937185049057,,,,,,0.6502552032470703,,,0.7244090437889099,0.5981324911117554,,0.4784407019615173,,,0.4692013561725616,,,0.1305645257234573,,,0.6486178040504456,,
1988-02-16,,0.817806601524353,0.1156597435474395,0.459937185049057,,,,,,0.6502552032470703,,,0.7244090437889099,0.5981324911117554,,0.4784407019615173,,,0.4692013561725616,,,0.1305645257234573,,,0.6486178040504456,,
1988-02-17,,0.817806601524353,0.1156597435474395,0.459937185049057,,,,,,0.6502552032470703,,,0.7244090437889099,0.5981324911117554,,0.4784407019615173,,,0.4692013561725616,,,0.1305645257234573,,,0.6486178040504456,,
1988-02-18,,0.817806601524353,0.1156597435474395,0.459937185049057,,,,,,0.6502552032470703,,,0.7244090437889099,0.5981324911117554,,0.4784407019615173,,,0.4692013561725616,,,0.1305645257234573,,,0.6486178040504456,,
1988-02-19,,0.817806601524353,0.1156597435474395,0.459937185049057,,,,,,0.6502552032470703,,,0.7244090437889099,0.5981324911117554,,0.4784407019615173,,,0.4692013561725616,,,0.1305645257234573,,,0.6486178040504456,,
1988-02-22,,0.817806601524353,0.1156597435474395,0.459937185049057,,,,,,0.6502552032470703,,,0.7244090437889099,0.5981324911117554,,0.4784407019615173,,,0.4692013561725616,,,0.1305645257234573,,,0.6486178040504456,,
1988-02-23,,0.817806601524353,0.1156597435474395,0.459937185049057,,,,,,0.6502552032470703,,,0.7244090437889099,0.5981324911117554,,0.4784407019615173,,,0.4692013561725616,,,0.1305645257234573,,,0.6486178040504456,,
1988-02-24,,0.817806601524353,0.1156597435474395,0.459937185049057,,,,,,0.6502552032470703,,,0.7244090437889099,0.5981324911117554,,0.4784407019615173,,,0.4692013561725616,,,0.1305645257234573,,,0.6486178040504456,,
1988-02-25,,0.817806601524353,0.1156597435474395,0.459937185049057,,,,,,0.6502552032470703,,,0.7244090437889099,0.5981324911117554,,0.4784407019615173,,,0.4692013561725616,,,0.1305645257234573,,,0.6486178040504456,,
1988-02-26,,0.817806601524353,0.1156597435474395,0.459937185049057,,,,,,0.6502552032470703,,,0.7244090437889099,0.5981324911117554,,0.4784407019615173,,,0.4692013561725616,,,0.1305645257234573,,,0.6486178040504456,,
1988-03-01,,0.7891120314598083,0.1449231505393982,0.5483866930007935,,,,,,0.6522020101547241,,,0.6969001889228821,0.6200154423713684,,0.4915487468242645,,,0.4970353245735168,,,0.1429151743650436,,,0.675643265247345,,
1988-03-02,,0.7891120314598083,0.1449231505393982,0.5483866930007935,,,,,,0.6522020101547241,,,0.6969001889228821,0.6200154423713684,,0.4915487468242645,,,0.4970353245735168,,,0.1429151743650436,,,0.675643265247345,,
1988-03-03,,0.7891120314598083,0.1449231505393982,0.5483866930007935,,,,,,0.6522020101547241,,,0.6969001889228821,0.6200154423713684,,0.4915487468242645,,,0.4970353245735168,,,0.1429151743650436,,,0.675643265247345,,
